area_sqft,bhk,property_type,lat,lon,price_inr
2250,3,Apartment,23.1008171,72.4946672,11270000.0
1674,3,Apartment,23.092529,72.561323,7328000.0
1080,2,Apartment,22.9821021,72.4975186,4245000.0
2320,3,Apartment,23.0516973,72.535169,16700000.0
4410,4,Apartment,23.057541,72.5435085,14500000.0
1215,2,Apartment,22.9729765,72.5895984,3000000.0
3726,4,Apartment,23.0967876,72.5966689,13799999.999999998
3798,4,Villa,22.8927975,72.4910926,13500000.0
1800,3,Apartment,23.021803,72.4747707,5200000.0
3877,4,Apartment,23.0169268,72.5204317,20000000.0
3384,5,Villa,22.8927975,72.4910926,18100000.0
1850,3,Apartment,23.021803,72.4747707,8650000.0
918,3,Apartment,23.0967876,72.5966689,7400000.0
1800,3,Apartment,23.081994,72.5519258,6300000.0
2610,3,Apartment,23.0774129,72.4943545,14700000.0
2237,4,Apartment,23.0417971,72.4911758,36490000.0
3240,4,Apartment,23.0181819,72.4681909,16210000.0
1080,2,Apartment,22.9821021,72.4975186,4245000.0
4410,4,Apartment,23.057541,72.5435085,14500000.0
1215,2,Apartment,22.9729765,72.5895984,3000000.0
3726,4,Apartment,23.0967876,72.5966689,13799999.999999998
3798,4,Villa,22.8927975,72.4910926,13500000.0
1800,3,Apartment,23.021803,72.4747707,5200000.0
3384,5,Villa,22.8927975,72.4910926,18100000.0
1850,3,Apartment,23.021803,72.4747707,8650000.0
918,3,Apartment,23.0967876,72.5966689,7400000.0
1800,3,Apartment,23.081994,72.5519258,6300000.0
2610,3,Apartment,23.0774129,72.4943545,14700000.0
4075,4,Apartment,23.0107147,72.4429208,7600000.0
841,3,Apartment,23.0107147,72.4429208,7306000.0
1890,3,Apartment,23.107121,72.5848584,8500000.0
10201,5,Apartment,23.0485393,72.511742,43000000.0
6912,6,Apartment,23.1589328,72.5380315,48500000.0
3406,5,Apartment,23.1360943,72.5425805,25500000.0
3121,5,Apartment,23.021803,72.4747707,15100000.0
866,3,Apartment,23.0107147,72.4429208,6575000.0
1980,3,Apartment,23.096244,72.4657337,8800000.0
1104,3,Apartment,23.1589328,72.5380315,8800000.0
2365,4,Apartment,23.1589328,72.5380315,14100000.0
970,3,Apartment,23.2770506,72.0875893,10200000.0
2160,4,Apartment,23.0445921,72.517344,24000000.0
3346,5,Apartment,23.0417971,72.4911758,54500000.0
1421,3,Apartment,23.119848,72.5152135,9900000.0
1760,3,Apartment,23.0544372,72.4720756,8700000.0
869,3,Apartment,23.021803,72.4747707,8100000.000000001
10920,5,Apartment,23.057541,72.5435085,15200000.0
