lat,lon,bhk,rate per sqft,area per sqft,price,property name,location,nearby school,nearby hospital,nearby bank,nearby public transport,nearby railway station,price source,matched map name,matched from,match method,property type
23.1008171,72.4946672,3,5009,2250,1.127,swarnim sentossa,swarnim sentossa,SHAYONA SCHOOL (5.04 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (2.45 km),Kalupur Cooperative Commercial BANK (5.89 km),Bhadaj circle BRTS (1.97 km),Chandlodiya 'B' (5.22 km),calculated_from_rate_area,Sentossa Greenland,swarnim sentossa,fuzzy_name,flat
23.092529,72.561323,3,4377,1674,0.7328,scarlet springs,scarlet springs,"Swaminarayan International School, Ranip (1.21 km)",BalMukund Hospital (0.22 km),Gol Bank (2.99 km),GST Crossing 1 (AMTS) (1.02 km),Kali Road (1.82 km),original,New Ranip,new ranip,exact_name,flat
22.9821021,72.4975186,2,3931,1080,0.4245,suryansh sanidhya shivalaya,"sarkhej, sarkhej okaf, ahmedabad",Anand Niketan School Sarkhej (1.74 km),Mamata Hospital (0.30 km),Yes Bank (3.68 km),Kadambari Society (4.35 km),Sarkhej (0.00 km),original,Sarkhej,sarkhej,exact_name,flat
23.0516973,72.535169,3,7198,2320,1.67,siddhi terrace skyline,memnagar,Bus stop Riverside School (0.96 km),Nandan Maternity Home (0.14 km),Kalupur Commercial Co-operative Bank (1.84 km),Gurukul Road (0.64 km),Chandlodiya (2.76 km),original,Memnagar,memnagar,exact_name,flat
23.057541,72.5435085,4,3288,4410,1.45,prayasam residency,"sola, ahmedabad",Karmachari Shiksan Tirth (0.85 km),Dr. Kaushik Vaidhya Medical Nursing Home (0.17 km),canera bank (1.47 km),Parasnagar BRTS stand (0.22 km),Chandlodiya (1.96 km),original,Sola,sola,exact_name,flat
22.9729765,72.5895984,2,2469,1215,0.3,laxmi courtyard,"narol, ahmedabad","Gujarati Medium Government School, Chandola (0.93 km)",Dr. K.B. Bhagatariya Hospital (0.25 km),Indusland Bank (2.78 km),Narol (0.00 km),Maninagar (3.62 km),original,Narol,narol,exact_name,flat
23.0967876,72.5966689,4,3704,3726,1.38,maitri elevate,"motera, ahmedabad",Sakar English School (1.43 km),Sevak Maternity & Surgical Hospital (0.06 km),HDFC Bank (1.59 km),Motera Stadium (0.00 km),Kali Road (1.91 km),original,Motera Stadium,motera,fuzzy_name,flat
22.8927975,72.4910926,4,3555,3798,1.35,heritage villa 76,"kasindra, ahmedabad",Narayana Business School (8.25 km),Lambha Skin Hospital (9.83 km),029 (5.96 km),APMC (12.59 km),Moraiya (6.65 km),original,Kasindra,kasindra,exact_name,house
23.021803,72.4747707,3,2889,1800,0.52,mansi empire,"south bopal, ahmedabad",Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
23.0169268,72.5204317,4,5159,3877,2.0,trinay anagh,jodhpur,Lotus School (0.26 km),Tulip Women's Hospital (0.39 km),saswat bank (0.89 km),Shree Sahjanand Travels (1.09 km),Vastrapur (1.05 km),original,Jodhpur,jodhpur,exact_name,flat
22.8927975,72.4910926,5,5349,3384,1.81,sampath villa,"kasindra, ahmedabad",Narayana Business School (8.25 km),Lambha Skin Hospital (9.83 km),029 (5.96 km),APMC (12.59 km),Moraiya (6.65 km),original,Kasindra,kasindra,exact_name,house
23.021803,72.4747707,3,4676,1850,0.865,divine skypark,"south bopal, ahmedabad",Cosmos Castle International School (2.70 km),Devasya Superspeciality Kidney Institute and Research Centre (0.63 km),ICICI Bank (0.47 km),Bopal Appoach BRTS (0.55 km),Gora Ghuma (3.01 km),original,South Bopal,south bopal,exact_name,flat
23.0967876,72.5966689,3,8061,918,0.74,savya skyz 2,"motera, ahmedabad",Sakar English School (1.43 km),Sevak Maternity & Surgical Hospital (0.06 km),HDFC Bank (1.59 km),Motera Stadium (0.00 km),Kali Road (1.91 km),original,Motera Stadium,motera,fuzzy_name,flat
23.081994,72.5519258,3,3500,1800,0.63,dharti skyline,"jagatpur, ahmedabad",Gyanda Girls High School (1.15 km),S G Hospital Chandlodiya (0.33 km),canera bank (3.30 km),Chandlodiya (0.32 km),Chandlodiya (1.11 km),original,Jagatpur Road,jagatpur,fuzzy_name,flat
23.0774129,72.4943545,3,5632,2610,1.47,greenvilla bliss,"science city, ahmedabad",Zebar School (3.21 km),Dr. Parth Amin (ENT Specialist) Mediheal Hospital (0.80 km),Indian Bank (5.31 km),Bhadaj circle BRTS (0.64 km),Ambli Road (2.66 km),original,Science City,science city,exact_name,flat
23.0417971,72.4911758,4,16312,2237,3.649,anamika high point,anamika high point,Satva Vikas School (0.49 km),Jeevan Dhara Hospital (1.53 km),Indian Bank (2.31 km),Jaintilal Park BRTS (1.49 km),Ambli Road (1.32 km),calculated_from_rate_area,Sindhu Bhavan Road,sindhu bhavan road,exact_name,flat
23.0181819,72.4681909,4,5003,3240,1.621,safalam luxuria,safalam luxuria,"DPS - Delhi Public School, Bopal (2.86 km)",Navkaar Hospital (0.22 km),Union Bank of India (0.50 km),South Bopal BRTS Terminal (0.35 km),Gora Ghuma (2.83 km),calculated_from_rate_area,Gala Luxuria,safalam luxuria,fuzzy_name,flat
22.9821021,72.4975186,2,3931,1080,0.4245,suryansh sanidhya shivalaya,sarkhej,Anand Niketan School Sarkhej (1.74 km),Mamata Hospital (0.30 km),Yes Bank (3.68 km),Kadambari Society (4.35 km),Sarkhej (0.00 km),original,Sarkhej,sarkhej,exact_name,flat
